Id,Generation time,Nr of test steps
1,7869.8212890625,24
2,8856.999755859375,26
3,10656.99951171875,24
4,9496.9951171875,26
5,9604.001708984375,26
6,12251.898681640625,26
7,7286.99169921875,26
8,10043.000244140625,28
9,14956.600341796875,28
10,11046.44775390625,26
11,9003.990966796875,27
12,11106.544189453125,28
13,11013.7412109375,24
14,16321.67578125,26
15,8438.8232421875,24
16,7052.4111328125,28
17,6574.665771484375,26
18,9014.18994140625,24
19,11703.55322265625,28
20,15630.640869140625,26
21,11883.28271484375,24
22,9451.876953125,26
23,8410.34423828125,26
24,8495.079345703125,26
25,13523.33447265625,27
26,9434.838134765625,27
27,12050.357177734375,26
28,12882.933837890625,26
29,10464.39501953125,24
30,16144.501708984375,28
31,7616.20703125,26
32,10810.884521484375,26
33,9498.148681640625,26
34,11772.210205078125,24
35,15943.067626953125,28
36,11997.2587890625,26
37,7825.728515625,26
38,8647.26220703125,26
39,11037.729248046875,26
40,10811.3291015625,26
41,10475.50341796875,26
42,18214.403564453125,26
43,7408.88330078125,28
44,6937.7021484375,28
45,9625.91259765625,26
46,6668.355712890625,26
47,7421.8857421875,26
48,6806.58642578125,28
49,7217.59521484375,28
50,8431.08056640625,27
51,7555.9990234375,26
52,8012.428955078125,28
53,6802.608642578125,28
54,6426.282958984375,26
55,7045.360595703125,24
56,6410.900146484375,24
57,6803.056640625,28
58,6834.73193359375,27
59,6480.543212890625,26
60,6756.59521484375,28
61,6839.728271484375,28
62,9986.169921875,28
63,10143.69677734375,26
64,9527.681884765625,26
65,7529.998046875,26
66,6749.9990234375,27
67,7920.0,26
68,7291.005859375,25
69,7225.04541015625,24
70,7553.00146484375,27
71,7087.99853515625,26
72,7115.93212890625,27
73,9432.998779296875,24
74,11040.916015625,28
75,9224.001220703125,27
76,11213.70263671875,28
77,8223.286865234375,24
78,9191.208984375,28
79,7003.71728515625,26
80,8469.652587890625,27
81,8867.96435546875,26
82,9585.28515625,24
83,9394.582763671875,26
84,9873.640869140625,24
85,9106.171875,28
86,8153.024658203125,26
87,8184.4189453125,26
88,6800.044921875,27
89,7573.72900390625,28
90,6658.9931640625,26
91,6270.105224609375,28
92,8621.102294921875,24
93,8172.891357421875,26
94,10202.04931640625,27
95,9749.851318359375,26
96,8366.996826171875,28
97,7750.194091796875,28
98,7796.417724609375,28
99,11705.3798828125,26
100,10962.3779296875,26
