Id,Generation time,Nr of test steps
1,7792.00439453125,15
2,8069.281005859375,19
3,7845.05078125,4
4,7230.739501953125,4
5,8113.05859375,23
6,7823.99951171875,26
7,8916.001708984375,24
8,7938.000244140625,22
9,10108.05126953125,25
10,9519.855712890625,20
11,8670.997314453125,8
12,7082.99951171875,7
13,8040.03515625,26
14,7350.0498046875,17
15,9142.642333984375,4
16,6633.016357421875,25
17,6921.006591796875,9
18,7169.308349609375,12
19,7661.05615234375,25
20,6900.568603515625,21
21,7822.025146484375,21
22,6812.994384765625,22
23,10513.002685546875,10
24,9799.527587890625,7
25,9867.278076171875,4
26,7697.648681640625,22
27,7349.520263671875,26
28,9015.003662109375,27
29,15681.102294921875,18
30,10749.045654296875,16
31,7504.334228515625,5
32,7000.005126953125,21
33,7586.9736328125,19
34,8966.999755859375,26
35,11228.004150390625,26
36,12141.618408203125,21
37,7427.00439453125,20
38,7901.306884765625,15
39,6631.00048828125,7
40,6626.993896484375,17
41,7144.46826171875,26
42,6447.165283203125,9
43,7231.002685546875,14
44,7962.98779296875,4
45,7354.048583984375,9
46,7435.344482421875,4
47,6813.998779296875,12
48,7527.813720703125,26
49,7402.999755859375,23
50,11586.88037109375,24
51,6601.99609375,26
52,6842.000244140625,21
53,6363.06689453125,14
54,6730.538330078125,22
55,7241.517333984375,20
56,6588.23779296875,22
57,6528.518310546875,27
58,6832.001708984375,24
59,6668.9990234375,12
60,6732.05712890625,25
61,6592.000732421875,24
62,6368.99609375,15
63,7151.18115234375,23
64,6601.98681640625,11
65,6349.221435546875,21
66,6776.997314453125,26
67,6242.7529296875,23
68,7627.001708984375,27
69,6549.989501953125,26
70,6564.0693359375,8
71,7539.056640625,12
72,8360.607666015625,5
73,10054.993896484375,10
74,7298.5263671875,7
75,6416.56494140625,27
76,7008.518310546875,27
77,6628.619140625,6
78,6900.650390625,15
79,6509.99755859375,14
80,6430.690673828125,13
81,7486.542724609375,27
82,6292.709228515625,14
83,6407.186279296875,13
84,7291.572509765625,13
85,6713.823486328125,27
86,7178.005859375,16
87,6828.997314453125,24
88,6343.009521484375,14
89,7106.071533203125,21
90,6769.0009765625,17
91,6664.001953125,17
92,6617.642333984375,27
93,6312.103271484375,26
94,7430.998779296875,18
95,8200.0,15
96,6576.789794921875,19
97,7057.286376953125,10
98,6412.58203125,10
99,7272.99609375,10
100,6665.51220703125,9
