Id,Generation time,Nr of test steps
1,7972.45458984375,5
2,8442.341796875,10
3,8525.890625,12
4,8989.336181640625,7
5,9312.030517578125,7
6,8466.29248046875,10
7,8478.059326171875,16
8,8273.975830078125,6
9,7820.31640625,6
10,7560.280517578125,8
11,7879.567138671875,6
12,9551.46630859375,7
13,15017.505859375,7
14,9687.31640625,6
15,7416.0849609375,9
16,7626.87060546875,8
17,7896.698486328125,4
18,8519.82421875,6
19,7558.956298828125,6
20,7296.234619140625,9
21,6510.451171875,9
22,6603.40234375,11
23,7192.97705078125,14
24,6428.975341796875,9
25,7379.6552734375,7
26,8296.75634765625,7
27,8520.801025390625,5
28,6651.157470703125,9
29,7351.085693359375,6
30,8409.498779296875,9
31,6333.552734375,7
32,6630.2783203125,4
33,6751.00390625,5
34,6880.438720703125,6
35,7141.434814453125,9
36,7318.686279296875,10
37,6719.742431640625,9
38,6818.69189453125,12
39,8045.627197265625,8
40,7706.731689453125,5
41,6756.991943359375,10
42,7030.99951171875,14
43,7390.84033203125,9
44,6504.973876953125,10
45,8996.007568359375,7
46,10104.1845703125,9
47,13236.654052734375,7
48,6574.053955078125,6
49,6525.318603515625,6
50,7043.3662109375,7
51,8145.363037109375,4
52,9777.724609375,4
53,10190.00244140625,9
54,8307.096435546875,11
55,6474.552001953125,8
56,6440.7119140625,6
57,6634.396240234375,8
58,8077.85205078125,6
59,7263.8447265625,6
60,6877.37451171875,6
61,8831.44287109375,9
62,8091.96044921875,7
63,7267.1015625,5
64,8682.209228515625,6
65,8793.092041015625,12
66,11416.984375,9
67,9873.794189453125,6
68,8559.924560546875,5
69,6608.840576171875,4
70,7641.656982421875,9
71,7785.784423828125,8
72,7200.798583984375,11
73,7373.825439453125,6
74,6769.014892578125,9
75,6631.163330078125,5
76,6965.1201171875,6
77,7364.59716796875,7
78,7105.855224609375,6
79,6782.73291015625,11
80,7127.49755859375,9
81,8442.373779296875,6
82,6900.79345703125,9
83,9270.994873046875,7
84,7245.928955078125,7
85,8806.48828125,8
86,7605.7548828125,6
87,7246.83251953125,9
88,7269.8076171875,8
89,6508.68505859375,6
90,7453.655029296875,9
91,7462.83984375,7
92,6496.34130859375,7
93,7411.0712890625,5
94,8733.16845703125,7
95,7297.686279296875,8
96,8320.122802734375,7
97,8724.625,4
98,6805.351806640625,5
99,6354.90625,7
100,7495.231689453125,6
