Id,Generation time,Nr of test steps
1,7213.996337890625,107
2,6508.095947265625,123
3,6805.001708984375,101
4,6303.556884765625,60
5,6500.572265625,64
6,6417.788818359375,83
7,6164.09912109375,35
8,6756.0048828125,57
9,6445.369873046875,91
10,6706.639892578125,64
11,6824.923828125,52
12,6530.08935546875,154
13,6736.51123046875,88
14,6666.523193359375,45
15,6391.440673828125,89
16,6515.4521484375,54
17,6487.72412109375,55
18,6274.997802734375,135
19,6623.265869140625,48
20,7135.914794921875,65
21,6556.197509765625,70
22,6527.997802734375,75
23,6432.0625,105
24,6788.016845703125,75
25,6209.589599609375,41
26,6314.360595703125,67
27,6800.99755859375,72
28,6218.86767578125,58
29,7116.77978515625,129
30,6865.523193359375,73
31,6627.002197265625,181
32,6932.998046875,203
33,6721.123779296875,240
34,6466.30859375,280
35,7048.791748046875,254
36,6541.9990234375,112
37,6159.88671875,45
38,6838.0087890625,161
39,7132.494873046875,74
40,6502.267822265625,50
41,6737.996826171875,89
42,6271.84423828125,47
43,6977.715576171875,87
44,6501.29345703125,126
45,6294.363525390625,93
46,6989.666748046875,143
47,6235.99951171875,106
48,7370.624755859375,72
49,7112.636962890625,84
50,6684.5458984375,104
51,9072.9833984375,50
52,7087.99267578125,107
53,6978.8740234375,91
54,6776.27490234375,71
55,7139.415283203125,264
56,6317.7060546875,68
57,7506.682373046875,107
58,7001.3779296875,40
59,7565.365234375,127
60,6667.73876953125,102
61,6296.393310546875,117
62,6851.314697265625,76
63,6547.39892578125,127
64,6794.400146484375,97
65,6402.671142578125,82
66,6465.799560546875,80
67,7573.651123046875,54
68,6221.84814453125,69
69,6890.65087890625,158
70,6791.83251953125,64
71,7776.098388671875,59
72,7767.7763671875,84
73,6322.850830078125,130
74,6753.113525390625,80
75,6502.223388671875,42
76,7025.7802734375,202
77,6792.097412109375,72
78,6571.39697265625,87
79,6422.572998046875,92
80,6625.087890625,48
81,6396.063720703125,66
82,6529.759033203125,129
83,6333.42919921875,45
84,6703.19482421875,203
85,7386.58984375,134
86,6464.9990234375,97
87,6231.66259765625,85
88,6809.036376953125,124
89,6483.996337890625,131
90,6716.086181640625,86
91,6460.99853515625,67
92,6407.000732421875,231
93,7484.99658203125,389
94,6359.0009765625,102
95,6920.064208984375,41
96,6454.0673828125,64
97,6359.44775390625,58
98,6620.00146484375,186
99,6338.99951171875,65
100,6520.99560546875,141
