Id,Generation time,Nr of test steps
1,7410.00146484375,115
2,6572.205322265625,97
3,6356.77880859375,135
4,6625.966064453125,64
5,6526.9873046875,47
6,6155.99609375,44
7,6628.941162109375,145
8,6639.005126953125,102
9,7612.47705078125,103
10,7195.8583984375,77
11,6537.002197265625,125
12,6176.20751953125,93
13,6471.890869140625,56
14,6443.967529296875,64
15,6871.981689453125,103
16,6727.948486328125,179
17,6279.14697265625,139
18,7061.549560546875,174
19,6492.613037109375,130
20,6809.383056640625,162
21,6540.024169921875,53
22,6384.34130859375,127
23,6804.776611328125,79
24,8935.03955078125,124
25,9241.045654296875,186
26,6944.994384765625,104
27,6551.06982421875,43
28,7234.724853515625,97
29,6449.561279296875,90
30,6263.475341796875,51
31,6827.621826171875,94
32,6368.866455078125,72
33,6728.001708984375,99
34,6364.052734375,50
35,6346.840087890625,142
36,7162.4052734375,133
37,6213.276611328125,59
38,6883.35986328125,90
39,6852.0009765625,73
40,6267.384765625,66
41,6444.25390625,80
42,6513.51708984375,66
43,6199.9599609375,81
44,6857.8427734375,137
45,6499.439697265625,141
46,6411.997314453125,79
47,7261.99853515625,118
48,6799.55029296875,73
49,6280.896484375,59
50,6580.99658203125,50
51,6500.999755859375,134
52,6599.299560546875,152
53,6685.03271484375,85
54,6184.4306640625,56
55,6919.50341796875,85
56,6469.16748046875,98
57,6918.00244140625,63
58,6728.998291015625,148
59,6321.2822265625,55
60,6771.9990234375,282
61,6417.999267578125,90
62,6370.000732421875,77
63,7094.920166015625,87
64,6422.16845703125,67
65,6542.79248046875,114
66,6525.9970703125,68
67,6984.708251953125,143
68,6941.00048828125,102
69,6498.003173828125,171
70,6320.531005859375,58
71,7594.02783203125,82
72,9779.427734375,136
73,9098.314453125,36
74,6597.08740234375,45
75,6478.34765625,191
76,7300.1640625,85
77,6562.804931640625,152
78,6435.822509765625,67
79,6517.878173828125,53
80,6423.821533203125,66
81,6189.669189453125,78
82,6733.2587890625,94
83,6545.996337890625,193
84,6693.01904296875,114
85,7064.182861328125,75
86,6350.838623046875,120
87,6716.86572265625,48
88,6238.8037109375,70
89,6452.169921875,77
90,6585.63134765625,42
91,6684.237060546875,126
92,6746.35888671875,48
93,6392.9013671875,71
94,6184.1337890625,50
95,7222.847412109375,86
96,6386.893798828125,71
97,6928.186279296875,197
98,7756.326904296875,166
99,7157.049560546875,33
100,7038.582275390625,67
