Id,Generation time,Nr of test steps
1,7014.998046875,29
2,6393.44580078125,223
3,6410.64208984375,22
4,6808.092529296875,32
5,6436.003173828125,44
6,6745.646240234375,157
7,6913.221923828125,22
8,6451.48583984375,11
9,6500.364501953125,16
10,6220.520751953125,14
11,6457.47705078125,98
12,6450.05126953125,22
13,6273.004638671875,14
14,6856.74755859375,6
15,7389.177734375,58
16,6209.672119140625,21
17,7184.003173828125,40
18,6891.517578125,48
19,6474.5908203125,34
20,6793.999267578125,126
21,6071.196533203125,31
22,6115.973876953125,14
23,6894.042236328125,96
24,6251.0185546875,5
25,6618.927734375,138
26,7196.837158203125,142
27,6488.301513671875,81
28,6322.983642578125,13
29,6379.81201171875,91
30,6606.92724609375,52
31,6558.406982421875,75
32,6562.078369140625,58
33,6435.818603515625,41
34,6382.27490234375,41
35,6337.994140625,15
36,6878.003173828125,43
37,6400.0,75
38,6342.00146484375,34
39,6566.6806640625,8
40,6040.755859375,11
41,6472.998779296875,15
42,7057.765869140625,77
43,6762.88671875,248
44,6195.513671875,5
45,6591.9970703125,10
46,6458.998291015625,29
47,6859.9287109375,113
48,6241.998291015625,89
49,6284.4443359375,145
50,6872.9287109375,102
51,6696.5185546875,234
52,6759.275390625,172
53,6480.998046875,286
54,6354.328369140625,121
55,8241.411865234375,64
56,6792.001953125,11
57,6384.855224609375,84
58,7167.99560546875,63
59,6892.03369140625,59
60,6711.996337890625,40
61,6714.822509765625,235
62,6250.9970703125,33
63,6631.999755859375,32
64,6877.7607421875,512
65,6599.99853515625,27
66,6454.028564453125,41
67,6217.994384765625,11
68,6472.78076171875,24
69,6772.79638671875,75
70,6474.326904296875,67
71,6536.475830078125,34
72,6465.42724609375,15
73,6455.6083984375,52
74,7364.728271484375,36
75,6733.88525390625,83
76,6760.870849609375,67
77,6798.0,45
78,6784.10595703125,107
79,6605.505126953125,18
80,6534.297119140625,129
81,7019.815185546875,24
82,6655.03466796875,80
83,8634.0029296875,276
84,7931.00048828125,14
85,6414.917724609375,43
86,6847.999755859375,185
87,6407.369384765625,38
88,6563.938232421875,65
89,6695.08154296875,4
90,6209.263427734375,25
91,6382.62646484375,50
92,6437.402099609375,91
93,6539.99462890625,10
94,7063.12158203125,7
95,6356.68603515625,66
96,6292.29833984375,32
97,6974.90234375,47
98,6382.99951171875,8
99,6476.848876953125,183
100,6637.0009765625,29
