Id,Generation time,Nr of test steps
1,6415.180419921875,4
2,6242.847900390625,5
3,6519.5283203125,5
4,6023.125732421875,9
5,6237.563232421875,9
6,6833.89306640625,6
7,6029.852783203125,5
8,6448.995361328125,3
9,6434.99951171875,8
10,6017.329345703125,3
11,6542.695068359375,6
12,6174.999755859375,4
13,6053.03271484375,4
14,6779.0009765625,3
15,6314.0908203125,4
16,6654.45947265625,8
17,6553.350341796875,6
18,6378.41259765625,4
19,6062.0146484375,3
20,6478.27734375,7
21,6273.516845703125,4
22,6486.0009765625,6
23,6439.999755859375,3
24,6006.698974609375,3
25,6339.21728515625,3
26,7104.614013671875,7
27,6390.076904296875,5
28,6453.75634765625,3
29,6362.005859375,6
30,6185.99560546875,4
31,6466.897705078125,10
32,6355.94775390625,7
33,6112.627197265625,3
34,6663.518798828125,4
35,6584.96875,3
36,6389.291015625,4
37,6684.003173828125,5
38,6098.38818359375,3
39,6536.99267578125,3
40,6171.998291015625,3
41,6287.331298828125,6
42,6868.93408203125,17
43,6408.970947265625,6
44,6573.997314453125,3
45,7491.078369140625,5
46,6386.82666015625,3
47,6391.52294921875,4
48,6153.01708984375,6
49,6214.99658203125,5
50,6619.633544921875,3
51,6095.310546875,3
52,6198.995361328125,3
53,6495.328369140625,5
54,6056.113037109375,9
55,6970.789306640625,3
56,6771.348876953125,3
57,6121.500732421875,5
58,6369.96923828125,4
59,6242.629150390625,4
60,6063.914306640625,10
61,7431.774169921875,3
62,6579.419189453125,6
63,6538.892578125,17
64,7523.18310546875,3
65,7500.64697265625,6
66,6547.034423828125,3
67,6273.73095703125,10
68,6159.2119140625,3
69,6439.292236328125,3
70,6376.61181640625,8
71,6631.37841796875,5
72,7519.11376953125,4
73,6219.0185546875,5
74,7307.080078125,4
75,6393.2607421875,8
76,6220.026611328125,4
77,6420.240966796875,3
78,6235.031005859375,3
79,6208.0146484375,4
80,6353.465087890625,7
81,6119.652587890625,8
82,6200.141357421875,3
83,6819.529052734375,13
84,7086.25146484375,12
85,6299.182861328125,4
86,6327.427001953125,7
87,6461.923828125,3
88,6807.4951171875,6
89,6202.048095703125,4
90,6356.5966796875,4
91,6713.190673828125,8
92,6258.8642578125,5
93,6249.654296875,8
94,7690.00146484375,14
95,6282.9814453125,4
96,6549.7783203125,26
97,6746.041748046875,4
98,7375.108642578125,8
99,7748.29345703125,6
100,6140.420166015625,7
