Id,Generation time,Nr of test steps
1,6844.442626953125,6
2,6480.867919921875,66
3,6197.5625,9
4,6660.99560546875,8
5,6234.666015625,40
6,6780.27392578125,25
7,6548.614501953125,13
8,6143.372314453125,7
9,7001.923095703125,19
10,6349.123291015625,80
11,6111.293701171875,6
12,6790.904296875,18
13,6278.9638671875,47
14,6316.88134765625,11
15,6428.9970703125,5
16,6880.7421875,29
17,6407.999267578125,9
18,6077.5146484375,9
19,6378.69677734375,36
20,6427.98828125,7
21,6303.936279296875,10
22,6142.919921875,9
23,6646.947021484375,28
24,6162.635009765625,15
25,6375.886962890625,21
26,6822.99853515625,23
27,6244.59521484375,48
28,6557.06103515625,21
29,6116.00439453125,9
30,6377.2333984375,8
31,6563.377685546875,25
32,6396.203857421875,54
33,6233.044189453125,4
34,6856.15771484375,79
35,6392.13427734375,12
36,6818.77490234375,8
37,6763.235595703125,31
38,6108.1083984375,30
39,6371.47900390625,8
40,6548.112548828125,19
41,5983.257568359375,8
42,6427.86376953125,23
43,6380.90087890625,25
44,6131.708251953125,10
45,6704.404541015625,61
46,6911.9892578125,36
47,6293.230224609375,10
48,7051.1689453125,58
49,6937.454833984375,21
50,6868.92431640625,6
51,6276.656982421875,8
52,6381.274169921875,5
53,6620.988525390625,22
54,6801.2021484375,27
55,8675.814208984375,25
56,8032.530517578125,11
57,6471.997314453125,39
58,6647.20654296875,9
59,5980.6142578125,8
60,6327.9658203125,15
61,6257.018310546875,9
62,6262.986328125,6
63,6362.001220703125,39
64,6343.580322265625,38
65,6814.219482421875,51
66,6784.0048828125,20
67,6243.343994140625,52
68,6294.3828125,10
69,6708.25927734375,16
70,5996.7841796875,6
71,6261.93212890625,11
72,6636.997314453125,11
73,5992.310791015625,15
74,6578.32568359375,91
75,7185.86669921875,34
76,6427.8955078125,46
77,6709.996337890625,30
78,6135.9970703125,5
79,6134.995361328125,21
80,6580.995849609375,30
81,6300.492431640625,25
82,6987.17919921875,7
83,6784.89306640625,16
84,6090.005859375,25
85,6919.0029296875,20
86,6283.728271484375,35
87,6310.25,6
88,7103.33447265625,57
89,6192.0009765625,11
90,6400.06494140625,91
91,6770.63330078125,17
92,5979.5517578125,14
93,6313.010986328125,4
94,7160.001708984375,32
95,6215.574951171875,44
96,6969.65576171875,22
97,5971.847900390625,5
98,6080.773681640625,38
99,6656.556640625,13
100,6343.00439453125,44
