Id,Generation time,Nr of test steps
1,7705.8642578125,155
2,7808.173583984375,444
3,6684.21484375,316
4,6276.45263671875,224
5,6930.068115234375,119
6,8114.330322265625,210
7,8224.26416015625,195
8,7435.443359375,303
9,6971.714111328125,95
10,6626.2060546875,165
11,6157.518310546875,127
12,7172.588623046875,548
13,6493.537353515625,222
14,6745.461181640625,147
15,6493.342529296875,77
16,7338.893310546875,81
17,7499.22900390625,407
18,8185.69873046875,381
19,6740.53857421875,180
20,9824.70361328125,174
21,6783.816162109375,652
22,6813.68701171875,128
23,6674.742431640625,93
24,7099.4853515625,530
25,7221.92333984375,94
26,6576.34912109375,123
27,6897.5634765625,244
28,6951.499755859375,496
29,6396.476806640625,250
30,6988.604736328125,189
31,6668.831298828125,120
32,6607.864013671875,305
33,6700.5224609375,127
34,7155.359130859375,118
35,6837.855712890625,202
36,6849.308349609375,226
37,6897.83154296875,486
38,7006.617919921875,123
39,6928.969482421875,464
40,6370.344482421875,131
41,6693.074951171875,107
42,6570.320556640625,586
43,7873.81103515625,114
44,6735.982177734375,191
45,6944.6083984375,113
46,6745.078125,225
47,6527.47119140625,197
48,6863.099853515625,178
49,6348.82958984375,107
50,6514.713134765625,231
51,6942.75,108
52,8375.51708984375,262
53,7109.954345703125,601
54,6931.67431640625,470
55,6362.8837890625,218
56,6909.26513671875,182
57,6750.828857421875,175
58,6552.387451171875,152
59,6840.0458984375,244
60,6765.816650390625,300
61,7617.654541015625,547
62,6822.20166015625,204
63,6325.70263671875,131
64,7025.121337890625,206
65,6321.733642578125,239
66,6629.66455078125,85
67,6796.148681640625,451
68,6716.664794921875,318
69,7207.253662109375,150
70,7067.278076171875,161
71,6691.45361328125,66
72,6862.91748046875,313
73,6412.60693359375,153
74,6654.458251953125,227
75,6668.996826171875,185
76,6567.342529296875,122
77,7077.699462890625,236
78,7077.337158203125,389
79,7170.779296875,464
80,7146.384033203125,225
81,6544.9736328125,174
82,7779.286376953125,352
83,7615.99169921875,305
84,6888.308349609375,230
85,6749.34228515625,142
86,6679.263671875,132
87,7522.2880859375,228
88,6800.508544921875,188
89,7315.24462890625,114
90,7015.000244140625,181
91,6356.345703125,189
92,7055.9638671875,407
93,6429.99951171875,126
94,6519.10546875,148
95,7201.997314453125,715
96,6930.1435546875,88
97,7999.95947265625,492
98,7593.000732421875,427
99,6441.999267578125,150
100,6989.22021484375,434
