Id,Generation time,Nr of test steps
1,7568.298095703125,62
2,6779.42578125,288
3,6892.844970703125,180
4,6181.51611328125,27
5,6830.0029296875,116
6,6735.0,72
7,6851.58740234375,317
8,6530.989990234375,26
9,6412.997314453125,89
10,6913.994140625,34
11,7352.153564453125,567
12,6736.001953125,39
13,6541.698486328125,95
14,7070.473388671875,195
15,6849.869384765625,367
16,6689.82958984375,64
17,6462.674072265625,86
18,6417.539794921875,10
19,7118.06298828125,21
20,7165.99951171875,501
21,6641.961669921875,105
22,6816.01025390625,113
23,7246.997802734375,249
24,7347.00146484375,164
25,6737.51416015625,157
26,6406.910888671875,116
27,7248.00927734375,148
28,7302.158447265625,368
29,7365.999267578125,89
30,6572.94140625,62
31,8617.0107421875,196
32,8220.525634765625,163
33,6738.213134765625,134
34,6483.045654296875,30
35,6859.0,101
36,7245.8310546875,77
37,8164.84423828125,123
38,7173.35302734375,109
39,6910.0888671875,26
40,7344.68798828125,597
41,6569.646240234375,114
42,6925.386962890625,114
43,6284.071533203125,135
44,6792.933349609375,37
45,6942.09033203125,729
46,7209.87548828125,32
47,6707.3974609375,69
48,6656.208251953125,264
49,7157.603515625,144
50,6509.61328125,31
51,6736.9990234375,178
52,6476.769287109375,16
53,6611.75634765625,34
54,6211.4619140625,11
55,7947.26171875,196
56,6993.346435546875,279
57,6681.802490234375,31
58,7035.572021484375,139
59,6944.61572265625,222
60,7043.1083984375,323
61,6703.6025390625,84
62,6413.27685546875,56
63,7032.868896484375,220
64,7357.782470703125,173
65,7481.07275390625,6
66,6217.90771484375,8
67,6837.470703125,34
68,6899.1826171875,217
69,6820.197509765625,294
70,6833.2236328125,352
71,7421.263916015625,391
72,6360.1533203125,30
73,7349.299072265625,224
74,7038.000244140625,69
75,6620.0,148
76,7370.527587890625,107
77,7779.214599609375,356
78,7247.518310546875,37
79,6510.1806640625,28
80,6461.178466796875,81
81,6696.059326171875,138
82,6894.955078125,134
83,7764.636474609375,121
84,6977.996826171875,139
85,6937.204345703125,292
86,7035.99853515625,296
87,6918.00341796875,421
88,7246.14306640625,386
89,6688.927978515625,118
90,6484.81201171875,77
91,7245.0009765625,299
92,7104.503662109375,216
93,7354.0,191
94,6433.99560546875,42
95,6280.096923828125,17
96,6943.97119140625,133
97,6877.072265625,861
98,6556.003173828125,11
99,7236.987548828125,361
100,6670.0009765625,54
