Id,Generation time,Nr of test steps
1,7353.62255859375,29
2,6452.001220703125,29
3,6513.99853515625,20
4,6984.000732421875,24
5,6658.001220703125,34
6,6707.000732421875,6
7,6594.0576171875,14
8,6493.35791015625,123
9,7339.999267578125,46
10,6062.6064453125,36
11,6495.256591796875,30
12,6924.077880859375,47
13,6498.107421875,98
14,6823.42822265625,28
15,9025.657958984375,27
16,7327.66552734375,23
17,7055.336669921875,111
18,7526.283935546875,15
19,7586.467041015625,101
20,6701.364990234375,120
21,6492.70849609375,70
22,6509.8291015625,18
23,7475.046142578125,7
24,8464.90966796875,71
25,7781.722412109375,35
26,7988.896728515625,26
27,6585.3583984375,64
28,6589.291748046875,27
29,7246.936279296875,9
30,7331.6689453125,7
31,6684.337890625,22
32,6843.11279296875,42
33,6522.537841796875,27
34,7136.437255859375,69
35,6979.717041015625,19
36,6641.63916015625,61
37,6943.577392578125,50
38,6383.553466796875,18
39,6318.5576171875,8
40,7049.100341796875,39
41,6463.961181640625,58
42,6957.596923828125,6
43,6650.7216796875,22
44,6276.213623046875,6
45,8861.38330078125,59
46,6732.20556640625,23
47,6547.22705078125,6
48,6604.42578125,13
49,6598.32861328125,6
50,6967.678466796875,99
51,6683.83544921875,27
52,6281.982177734375,38
53,6553.153564453125,21
54,6886.76416015625,8
55,6508.228271484375,35
56,6536.793701171875,16
57,6941.28369140625,9
58,7367.95556640625,33
59,6396.16064453125,42
60,6731.550048828125,90
61,6721.204833984375,28
62,6534.844970703125,49
63,7157.730224609375,89
64,6956.296875,21
65,6394.017333984375,95
66,6772.67529296875,6
67,6495.598876953125,10
68,6288.3466796875,38
69,7294.512451171875,19
70,6512.016845703125,19
71,6545.533447265625,13
72,6626.97998046875,137
73,7004.749267578125,7
74,6674.036865234375,15
75,6300.081298828125,23
76,6621.61767578125,63
77,7164.183349609375,70
78,6796.820556640625,97
79,6460.954345703125,29
80,6822.6572265625,6
81,6075.019775390625,18
82,6929.912841796875,91
83,6747.221923828125,15
84,6194.81201171875,5
85,7074.727294921875,6
86,6582.18896484375,119
87,7033.900146484375,80
88,7116.51220703125,6
89,6405.525634765625,41
90,6842.4384765625,63
91,6337.9130859375,22
92,7068.292236328125,4
93,7288.25341796875,54
94,6471.1513671875,26
95,6267.4091796875,42
96,6902.180419921875,44
97,6541.100830078125,16
98,6345.921142578125,22
99,6831.6611328125,80
100,6153.2568359375,19
