Id,Generation time,Nr of test steps
1,6809.952392578125,4
2,6800.002197265625,4
3,6970.03173828125,5
4,6361.707275390625,5
5,6732.455322265625,6
6,6965.048828125,4
7,6396.53857421875,3
8,6702.99951171875,3
9,6444.859130859375,4
10,6512.630859375,3
11,6439.44873046875,3
12,6798.74951171875,3
13,6381.99609375,4
14,6696.423095703125,6
15,6328.48486328125,3
16,7919.000732421875,4
17,7031.701171875,6
18,6888.237060546875,4
19,6647.68994140625,4
20,6339.004638671875,3
21,7143.0,3
22,6332.0,3
23,6250.145263671875,3
24,6551.185302734375,4
25,6849.99560546875,3
26,6815.0,3
27,6536.9990234375,3
28,6659.707275390625,7
29,6587.9990234375,7
30,6694.0,3
31,7552.001708984375,4
32,8014.939453125,4
33,9410.001220703125,4
34,12153.00244140625,5
35,9955.050048828125,4
36,11195.525146484375,4
37,10222.523681640625,3
38,11690.9970703125,3
39,23282.8203125,4
40,10424.290771484375,5
41,27685.0732421875,3
42,11891.775634765625,3
43,6473.93310546875,5
44,7361.01416015625,6
45,6711.51513671875,3
46,6441.40087890625,3
47,6902.74951171875,5
48,6568.74169921875,4
49,6673.426513671875,6
50,6882.12060546875,6
51,6393.697998046875,3
52,6734.649169921875,4
53,7313.604248046875,4
54,6698.115966796875,4
55,6821.69775390625,5
56,6999.52587890625,4
57,6262.794677734375,3
58,6696.680908203125,3
59,6491.45361328125,3
60,6769.48876953125,4
61,6635.431640625,3
62,6449.82177734375,4
63,7615.647705078125,4
64,6302.128662109375,4
65,6578.99853515625,4
66,6620.93603515625,3
67,6412.58349609375,7
68,6740.0029296875,7
69,6817.00341796875,4
70,6485.994384765625,4
71,7014.999755859375,3
72,6991.001708984375,5
73,6958.9970703125,3
74,6775.1044921875,3
75,6595.559326171875,3
76,6565.963623046875,5
77,6820.9970703125,6
78,9591.00146484375,3
79,13262.0498046875,3
80,12048.999755859375,6
81,8931.115478515625,3
82,10423.0439453125,3
83,9995.99853515625,4
84,10005.0,3
85,10131.995361328125,3
86,10584.99951171875,3
87,8752.296630859375,3
88,9046.97021484375,4
89,12144.041015625,3
90,8272.9970703125,7
91,10217.004638671875,3
92,19561.522705078125,4
93,14074.04736328125,4
94,10042.0458984375,3
95,10947.00341796875,4
96,15013.00244140625,3
97,12276.107666015625,4
98,10373.995849609375,3
99,12479.571533203125,4
100,12479.9921875,5
