Id,Generation time,Nr of test steps
1,7812.99169921875,2
2,7452.00048828125,2
3,11033.000732421875,5
4,8349.816162109375,3
5,6768.000244140625,4
6,6995.443115234375,2
7,6205.171875,3
8,6220.50732421875,4
9,7459.0,2
10,6161.776611328125,3
11,6245.4033203125,2
12,6824.000732421875,6
13,6240.257080078125,6
14,6516.368896484375,3
15,6515.003173828125,4
16,6510.5751953125,4
17,7080.804443359375,2
18,6682.436767578125,3
19,7080.8818359375,4
20,6918.0,4
21,6636.999755859375,4
22,7162.22412109375,2
23,6419.99658203125,3
24,6246.5458984375,2
25,7202.890380859375,4
26,6215.9990234375,2
27,6446.524658203125,2
28,7249.93603515625,2
29,6633.814208984375,5
30,6531.043212890625,5
31,6563.455078125,2
32,6357.108154296875,3
33,6634.15771484375,2
34,7346.574951171875,4
35,6904.80615234375,5
36,6793.51806640625,2
37,6509.04150390625,3
38,7180.7255859375,2
39,6741.157958984375,4
40,6197.4423828125,2
41,6678.050537109375,3
42,6685.802734375,3
43,6542.28662109375,3
44,6619.933837890625,4
45,6220.904541015625,5
46,7227.46435546875,4
47,7054.020263671875,4
48,6365.896240234375,2
49,6900.59033203125,4
50,6299.046630859375,2
51,6574.8818359375,4
52,6824.99951171875,3
53,6375.50830078125,5
54,6671.0537109375,2
55,6722.221923828125,4
56,6629.46630859375,2
57,7255.4501953125,2
58,6315.0224609375,4
59,6427.595458984375,4
60,6665.371337890625,3
61,6703.915771484375,2
62,6624.571533203125,4
63,6663.308349609375,4
64,6605.2578125,3
65,6617.908935546875,2
66,6860.995361328125,2
67,6323.18017578125,2
68,6734.31640625,5
69,6316.615966796875,2
70,6694.000244140625,4
71,6610.999755859375,2
72,6505.9970703125,2
73,7083.56787109375,3
74,6244.012451171875,2
75,6319.99951171875,3
76,7097.677001953125,2
77,6455.00048828125,6
78,6247.0,2
79,6984.00341796875,3
80,6525.514404296875,6
81,6649.000732421875,2
82,6435.11474609375,2
83,6722.549072265625,4
84,6674.56787109375,5
85,6795.002685546875,2
86,6714.001708984375,2
87,6769.811767578125,5
88,6219.816650390625,4
89,6797.79150390625,2
90,6459.05029296875,4
91,6296.995361328125,4
92,7090.083740234375,2
93,6371.41748046875,5
94,6255.724609375,3
95,7279.998291015625,4
96,6329.99658203125,2
97,7306.94775390625,3
98,6477.999755859375,3
99,6530.878662109375,3
100,7155.00146484375,4
