Id,Generation time,Nr of test steps
1,6688.545166015625,9
2,6360.803466796875,9
3,6455.853759765625,15
4,6199.821533203125,11
5,6200.93017578125,24
6,7209.832275390625,16
7,6028.3525390625,26
8,6017.996826171875,10
9,6593.33251953125,18
10,6126.994384765625,9
11,6344.001220703125,14
12,6779.515869140625,10
13,6021.55029296875,9
14,6456.98291015625,20
15,6270.380126953125,17
16,6612.99951171875,18
17,6550.35400390625,13
18,6295.5615234375,10
19,6093.001220703125,13
20,6390.205322265625,31
21,6614.84326171875,13
22,6130.218994140625,7
23,6233.761962890625,9
24,6206.0,12
25,6448.7763671875,13
26,6815.0009765625,14
27,6092.447998046875,21
28,6877.005615234375,26
29,6074.388671875,26
30,6489.278076171875,28
31,6549.888916015625,10
32,6362.856201171875,8
33,6031.8759765625,10
34,6271.169921875,27
35,6167.00048828125,16
36,6927.059814453125,13
37,6469.00048828125,20
38,6096.7734375,9
39,6479.19580078125,11
40,6342.966064453125,14
41,6491.001220703125,14
42,6840.640380859375,12
43,6124.708984375,12
44,6280.84033203125,17
45,6459.869384765625,10
46,6873.633544921875,10
47,6212.37939453125,25
48,6531.241943359375,18
49,6905.075439453125,18
50,8047.002685546875,23
51,6258.458251953125,24
52,6014.041259765625,10
53,6522.036865234375,19
54,7274.46923828125,14
55,6755.3466796875,21
56,6601.994384765625,8
57,6310.59912109375,22
58,7021.015380859375,22
59,6419.000732421875,18
60,5934.87646484375,12
61,6542.036376953125,11
62,6300.9990234375,8
63,5970.206787109375,20
64,6503.881591796875,17
65,6786.511962890625,17
66,6063.034423828125,19
67,6590.853759765625,14
68,6286.00146484375,10
69,6659.591552734375,13
70,6057.0400390625,16
71,6296.36962890625,21
72,6399.974609375,12
73,6111.84814453125,9
74,6596.9990234375,14
75,6976.97216796875,16
76,6259.51806640625,20
77,6265.000244140625,9
78,6640.2392578125,25
79,6138.796875,8
80,6198.26318359375,18
81,6371.033203125,30
82,6349.26611328125,9
83,6380.755126953125,9
84,6095.52685546875,14
85,6649.0009765625,9
86,6467.0380859375,18
87,6446.001220703125,11
88,6373.792724609375,21
89,6478.998291015625,8
90,6207.000244140625,7
91,6043.633544921875,12
92,6280.778076171875,25
93,6209.9990234375,12
94,6542.998779296875,16
95,6522.01025390625,11
96,6296.028564453125,14
97,6482.000732421875,11
98,6473.33544921875,15
99,6091.9970703125,13
100,6443.6416015625,8
