Id,Generation time,Nr of test steps
1,8892.364990234375,8
2,6378.000244140625,9
3,6257.00146484375,42
4,6038.05419921875,10
5,6315.268798828125,11
6,6284.01220703125,9
7,5958.583984375,9
8,6357.533203125,11
9,6980.849365234375,21
10,7481.000244140625,11
11,8574.04443359375,26
12,8429.569580078125,14
13,7270.55029296875,11
14,7926.202880859375,13
15,9187.13720703125,21
16,8094.070068359375,17
17,9481.523193359375,9
18,8584.624755859375,12
19,7598.96630859375,22
20,7962.779052734375,18
21,6356.266845703125,8
22,10474.927490234375,10
23,10739.683837890625,22
24,13531.1943359375,19
25,8965.87255859375,19
26,9505.20458984375,12
27,8277.154296875,8
28,10325.86376953125,7
29,6594.2783203125,13
30,6682.7470703125,21
31,6692.41015625,9
32,6407.264404296875,9
33,6552.561767578125,14
34,6794.996826171875,11
35,6786.772705078125,9
36,6403.93017578125,31
37,6044.360107421875,8
38,6410.953369140625,12
39,6395.310302734375,18
40,6571.858154296875,20
41,7680.671875,16
42,9789.64013671875,10
43,7000.08642578125,14
44,6596.43115234375,10
45,7055.4248046875,31
46,9213.083251953125,9
47,11389.520751953125,11
48,8008.180908203125,16
49,7622.792724609375,14
50,8373.30859375,9
51,7076.8193359375,15
52,7953.939697265625,27
53,6903.09716796875,7
54,9319.203369140625,9
55,9386.765625,9
56,8340.046875,11
57,10171.25146484375,18
58,9125.349365234375,15
59,8551.527587890625,18
60,8353.79541015625,12
61,8920.787841796875,9
62,7287.004638671875,9
63,7572.998779296875,14
64,6811.002685546875,10
65,6224.85107421875,13
66,6544.52099609375,30
67,6361.99951171875,12
68,6102.003173828125,12
69,6425.001708984375,7
70,6340.873291015625,16
71,6830.009765625,17
72,6425.00146484375,11
73,6300.550537109375,7
74,6922.044189453125,13
75,6279.949462890625,26
76,6092.253662109375,10
77,7115.526611328125,9
78,6171.083251953125,8
79,6270.798095703125,19
80,6440.9951171875,15
81,6610.05078125,23
82,6038.462158203125,11
83,6732.866455078125,14
84,6698.5634765625,14
85,6284.000732421875,13
86,6631.000732421875,23
87,6428.998291015625,24
88,6610.554443359375,9
89,6001.000732421875,12
90,6327.00146484375,26
91,6738.996337890625,8
92,6861.00146484375,12
93,7326.03173828125,16
94,6287.617431640625,11
95,6310.99755859375,20
96,6024.000732421875,10
97,6346.998046875,20
98,6258.41259765625,14
99,7184.418701171875,10
100,7994.696533203125,25
