Id,Generation time,Nr of test steps
1,7404.00244140625,4
2,8761.068603515625,5
3,6738.51611328125,9
4,7112.001220703125,11
5,6548.851318359375,9
6,6334.207275390625,9
7,6965.997314453125,5
8,6415.303955078125,3
9,6655.0576171875,7
10,6383.8466796875,17
11,6321.99853515625,9
12,7270.524169921875,8
13,7904.517578125,8
14,6409.001708984375,11
15,6790.230224609375,11
16,6145.603271484375,3
17,6461.966064453125,9
18,6939.327880859375,5
19,6379.001708984375,11
20,6650.661865234375,15
21,6149.25,20
22,6269.25,7
23,6725.117431640625,10
24,6177.843994140625,4
25,6033.20556640625,5
26,6908.996826171875,11
27,6140.0009765625,14
28,6160.815673828125,9
29,6639.525634765625,5
30,6017.908203125,14
31,6264.99853515625,10
32,6416.876953125,9
33,6128.002685546875,7
34,6529.788330078125,5
35,6223.28173828125,5
36,6512.4736328125,8
37,6609.9970703125,5
38,6120.2978515625,10
39,6493.913818359375,4
40,6761.010498046875,4
41,6418.385498046875,5
42,6063.6513671875,8
43,6823.114013671875,6
44,6182.26025390625,4
45,6354.57421875,4
46,6911.0009765625,4
47,6059.57421875,12
48,6838.197509765625,5
49,6052.36767578125,7
50,6360.90869140625,18
51,6502.887939453125,4
52,6148.052978515625,4
53,6253.00048828125,8
54,6439.00439453125,3
55,6253.9970703125,6
56,6789.989501953125,3
57,6636.266845703125,7
58,6042.69287109375,3
59,6268.001708984375,3
60,6588.99951171875,10
61,6111.073974609375,3
62,6700.385986328125,9
63,6305.998046875,23
64,6079.82275390625,7
65,6348.400146484375,9
66,6566.939208984375,3
67,6125.996337890625,8
68,6895.349365234375,3
69,6162.770263671875,4
70,6279.25244140625,4
71,6284.90380859375,5
72,6460.830078125,8
73,6408.959228515625,6
74,6264.996826171875,9
75,6055.994384765625,8
76,7239.001708984375,5
77,6276.202392578125,7
78,6011.3193359375,5
79,6521.474365234375,4
80,6079.83935546875,3
81,6070.869384765625,4
82,6803.001953125,6
83,6140.002197265625,4
84,6247.032470703125,4
85,6287.77685546875,13
86,6781.1162109375,6
87,6524.049560546875,8
88,6318.999755859375,7
89,6197.122314453125,13
90,6535.8017578125,8
91,6214.50537109375,6
92,6042.011474609375,12
93,6391.621337890625,3
94,6609.24853515625,7
95,6770.627197265625,4
96,7114.159912109375,3
97,6342.03564453125,6
98,6581.107421875,9
99,6487.327392578125,6
100,6096.001953125,11
