Id,Generation time,Nr of test steps
1,6895.001220703125,4
2,6050.55322265625,5
3,6611.57373046875,14
4,6142.50341796875,4
5,6145.001220703125,5
6,6310.593994140625,4
7,6694.4833984375,8
8,6106.73828125,15
9,6305.999755859375,3
10,6291.411376953125,8
11,6454.96337890625,16
12,6094.192138671875,4
13,6111.698486328125,6
14,6675.844482421875,16
15,6119.998291015625,5
16,6281.057373046875,4
17,8488.0615234375,8
18,7293.552734375,5
19,6144.544677734375,2
20,7000.036865234375,7
21,6064.544677734375,8
22,6437.813720703125,5
23,6481.02978515625,7
24,6030.7861328125,11
25,6364.756591796875,4
26,6291.001953125,3
27,6757.51220703125,4
28,6604.73388671875,2
29,6199.90673828125,9
30,6134.005126953125,8
31,6584.052734375,13
32,6171.903076171875,2
33,6072.000732421875,7
34,6523.003662109375,17
35,6156.005859375,3
36,6450.005126953125,2
37,6650.99462890625,2
38,6788.768310546875,14
39,6567.77978515625,9
40,6248.419189453125,15
41,5990.737060546875,5
42,6628.915283203125,7
43,6734.99853515625,6
44,6342.921142578125,3
45,6600.7958984375,2
46,6679.7509765625,3
47,6765.802490234375,6
48,6250.99755859375,10
49,6309.45458984375,7
50,7576.030029296875,3
51,6272.373046875,2
52,6173.753173828125,7
53,7427.999755859375,4
54,7113.198974609375,7
55,7155.05126953125,23
56,6737.88427734375,12
57,6567.010498046875,4
58,11375.610107421875,8
59,8760.876708984375,3
60,8990.00048828125,4
61,6441.1640625,12
62,6184.24755859375,7
63,6778.96142578125,2
64,7074.000732421875,2
65,6345.00146484375,11
66,6449.998046875,6
67,6492.877685546875,10
68,9610.240966796875,4
69,9222.23388671875,15
70,6826.7509765625,4
71,6041.2548828125,4
72,6051.440185546875,2
73,6944.3212890625,2
74,6308.050537109375,2
75,6122.651123046875,7
76,6474.68212890625,13
77,6173.67431640625,2
78,6175.56494140625,10
79,6692.998779296875,3
80,6506.9228515625,6
81,6501.042724609375,4
82,6118.03515625,2
83,6820.001220703125,2
84,6506.0068359375,3
85,6014.8408203125,8
86,6381.000732421875,5
87,6664.71826171875,4
88,6066.79150390625,6
89,6157.55419921875,3
90,6686.816650390625,6
91,6284.783203125,6
92,6508.88720703125,7
93,7135.185546875,3
94,6009.005126953125,6
95,6455.344970703125,6
96,6247.574951171875,2
97,6112.4912109375,3
98,6565.33251953125,4
99,6205.427490234375,3
100,6016.3662109375,2
