Id,Generation time,Nr of test steps
1,6452.994384765625,5
2,6677.619140625,5
3,6228.96044921875,5
4,6412.6728515625,5
5,5942.37060546875,3
6,6185.593505859375,2
7,6412.999267578125,10
8,6106.3291015625,2
9,6092.84326171875,2
10,7006.0302734375,9
11,6066.376708984375,3
12,6326.30908203125,7
13,6292.836181640625,2
14,5967.71875,4
15,6546.889892578125,28
16,6155.99462890625,9
17,5984.98779296875,7
18,6413.565673828125,2
19,6210.99755859375,8
20,6563.0400390625,29
21,6826.99169921875,33
22,6353.380615234375,6
23,6096.648193359375,6
24,6676.99755859375,2
25,6208.06689453125,4
26,6530.199951171875,2
27,6398.99951171875,4
28,6100.0712890625,6
29,7315.998779296875,5
30,7129.152587890625,2
31,6282.27978515625,4
32,7000.0,8
33,5980.99951171875,9
34,5958.9541015625,2
35,6377.0908203125,3
36,6236.142822265625,7
37,5945.1396484375,9
38,6567.3125,6
39,6191.00048828125,7
40,6604.1953125,4
41,6446.354736328125,7
42,6231.051513671875,7
43,6447.853271484375,13
44,6168.001708984375,4
45,6028.036376953125,9
46,6611.00048828125,8
47,6036.031982421875,8
48,6050.67626953125,2
49,6583.0087890625,8
50,6599.040771484375,2
51,6113.5478515625,12
52,6617.846435546875,6
53,6113.02978515625,5
54,6073.26806640625,8
55,6343.9970703125,4
56,6169.00244140625,3
57,6150.99853515625,5
58,6399.994140625,5
59,5980.310302734375,3
60,7098.9990234375,3
61,6108.177490234375,3
62,6183.699462890625,4
63,6355.9453125,12
64,6068.0986328125,6
65,6198.0146484375,13
66,6403.1748046875,12
67,6173.895751953125,2
68,6896.666259765625,22
69,6293.8671875,3
70,6842.42822265625,4
71,6493.051513671875,6
72,6135.817626953125,7
73,6122.428955078125,9
74,6586.332763671875,15
75,5986.9794921875,3
76,6136.401123046875,5
77,6559.781005859375,6
78,6114.87109375,4
79,6149.46484375,4
80,7395.469970703125,9
81,6413.4931640625,19
82,5967.582763671875,16
83,6358.001220703125,10
84,6216.001708984375,3
85,6346.82275390625,8
86,6210.000244140625,8
87,6280.78076171875,2
88,6311.999267578125,2
89,6315.001708984375,16
90,6681.573974609375,9
91,6374.705078125,12
92,6174.997802734375,10
93,6109.998046875,14
94,6283.000732421875,11
95,6091.5009765625,4
96,6116.360107421875,4
97,6494.00146484375,24
98,6043.22900390625,2
99,6473.00244140625,3
100,6887.97412109375,3
