Id,Generation time,Nr of test steps
1,8154.99755859375,61
2,7848.0068359375,28
3,6685.490966796875,44
4,7448.162109375,16
5,8797.995849609375,55
6,7149.412841796875,41
7,7950.4814453125,22
8,6657.44921875,21
9,7967.029052734375,12
10,7651.855224609375,27
11,8194.0205078125,23
12,7329.42431640625,52
13,7136.019775390625,35
14,7563.9697265625,22
15,7183.791015625,20
16,9598.7265625,27
17,7047.392333984375,14
18,8713.968994140625,26
19,8101.40185546875,23
20,6988.316650390625,24
21,7595.68017578125,19
22,6420.7099609375,31
23,6592.963134765625,30
24,7315.03173828125,32
25,6549.780517578125,37
26,7487.503173828125,50
27,7456.25390625,9
28,7135.00048828125,55
29,7175.63916015625,22
30,7417.026611328125,33
31,7377.8232421875,16
32,7261.228271484375,44
33,6776.74853515625,21
34,7639.62646484375,21
35,7549.734619140625,45
36,8276.603759765625,17
37,6709.80517578125,28
38,10206.120849609375,14
39,8737.2802734375,12
40,6511.088623046875,46
41,8417.958740234375,18
42,8161.659912109375,37
43,8675.076171875,41
44,6863.064453125,17
45,7299.148681640625,43
46,7260.015869140625,42
47,7345.42822265625,20
48,7836.958984375,38
49,7124.91064453125,22
50,7890.339111328125,13
51,6904.111083984375,11
52,7669.814697265625,9
53,7762.3134765625,18
54,8221.330810546875,60
55,13783.395263671875,17
56,9770.639892578125,15
57,8219.0,18
58,7116.404296875,23
59,8350.24169921875,10
60,6971.76904296875,17
61,8337.763671875,40
62,8108.3564453125,22
63,7576.578369140625,23
64,7856.399658203125,38
65,6876.400146484375,26
66,11875.15283203125,27
67,8759.30712890625,53
68,7826.109619140625,20
69,7305.343017578125,27
70,7294.85498046875,17
71,7311.674072265625,23
72,7213.663330078125,19
73,7953.6337890625,33
74,6941.166259765625,18
75,8063.649169921875,20
76,7718.48681640625,26
77,10482.93505859375,50
78,7993.526123046875,76
79,6584.252197265625,11
80,7370.0,24
81,9617.99755859375,22
82,8553.61083984375,24
83,7653.518310546875,27
84,7132.00439453125,33
85,8114.99755859375,27
86,7735.529052734375,24
87,8085.7275390625,51
88,7655.9990234375,32
89,7509.0048828125,23
90,7230.151123046875,21
91,8676.0009765625,19
92,9554.9990234375,37
93,12410.22900390625,41
94,7363.07177734375,37
95,7780.735107421875,22
96,7323.8935546875,25
97,7434.95458984375,30
98,7757.911865234375,56
99,7369.283935546875,16
100,7295.13818359375,35
