Id,Generation time,Nr of test steps
1,7619.944580078125,10
2,6794.93505859375,32
3,8782.681396484375,27
4,8458.99951171875,16
5,9528.99853515625,25
6,8990.685302734375,33
7,8473.304443359375,18
8,7191.3017578125,77
9,7658.00244140625,31
10,7746.044677734375,20
11,7178.48974609375,28
12,7267.235595703125,25
13,6695.655029296875,21
14,6920.3876953125,30
15,7799.9287109375,20
16,6908.522216796875,56
17,7508.642333984375,28
18,7244.060791015625,33
19,7280.9326171875,19
20,7292.44189453125,10
21,7368.5810546875,30
22,8137.51171875,27
23,6967.098388671875,18
24,7447.96337890625,22
25,6669.0576171875,38
26,7483.728271484375,47
27,7882.503173828125,24
28,6643.357177734375,29
29,6923.34326171875,10
30,6952.94189453125,23
31,6409.441650390625,7
32,8474.369384765625,24
33,8813.404052734375,60
34,9661.999755859375,51
35,7355.057861328125,44
36,6434.00048828125,26
37,6589.180419921875,9
38,6671.29931640625,18
39,6696.715087890625,31
40,6777.269775390625,17
41,6450.240234375,32
42,6715.475341796875,7
43,6298.8486328125,29
44,7388.96923828125,64
45,6654.626708984375,35
46,6437.005126953125,36
47,7011.03662109375,35
48,6667.002197265625,65
49,6530.99755859375,27
50,7129.870361328125,48
51,6492.00439453125,29
52,6446.6171875,52
53,7725.75634765625,70
54,6993.055908203125,66
55,6938.99853515625,42
56,6455.010986328125,39
57,6407.53466796875,71
58,6879.977783203125,17
59,6327.46435546875,19
60,6730.21533203125,46
61,7224.521484375,40
62,7720.00048828125,39
63,8030.24755859375,11
64,7078.993896484375,17
65,7482.99755859375,27
66,7031.00439453125,41
67,7408.6865234375,21
68,9566.566650390625,22
69,6614.00048828125,22
70,9163.10107421875,16
71,8218.423583984375,10
72,8639.484130859375,25
73,7352.525146484375,31
74,9042.019775390625,15
75,10038.532958984375,79
76,6797.000244140625,38
77,6916.001220703125,14
78,7849.234375,32
79,8210.925048828125,28
80,6953.4658203125,82
81,8099.351318359375,40
82,7953.924560546875,17
83,10997.850341796875,18
84,9717.864501953125,33
85,7764.71875,22
86,13067.13720703125,50
87,11071.269775390625,33
88,9520.333251953125,31
89,7733.0439453125,31
90,7219.513671875,46
91,9334.065185546875,13
92,8351.778076171875,58
93,9061.163330078125,13
94,9637.682861328125,15
95,8122.927734375,7
96,11229.889892578125,41
97,7037.830322265625,28
98,7918.001708984375,33
99,8543.648681640625,56
100,8922.546875,42
