Id,Generation time,Nr of test steps
1,6724.087890625,3
2,9693.220703125,4
3,7638.591552734375,3
4,7725.95751953125,3
5,7368.272216796875,5
6,6974.330078125,5
7,7608.911376953125,3
8,6896.820556640625,4
9,7277.5048828125,4
10,7620.72802734375,4
11,7045.133056640625,5
12,7550.091796875,6
13,7001.466796875,3
14,13291.453369140625,3
15,8383.312744140625,4
16,7514.50048828125,4
17,7370.784423828125,3
18,7547.029541015625,4
19,7277.185546875,4
20,6667.330810546875,3
21,7136.185546875,4
22,7176.390869140625,3
23,7899.44775390625,3
24,6994.014404296875,3
25,7368.97412109375,4
26,9966.43505859375,4
27,10294.99755859375,3
28,10588.39306640625,3
29,8318.00341796875,4
30,7929.804443359375,3
31,7059.048828125,3
32,7299.41943359375,3
33,7495.56689453125,9
34,7288.12939453125,5
35,8314.166259765625,5
36,7181.364501953125,3
37,9184.358154296875,4
38,7976.484375,6
39,10014.516845703125,4
40,10951.6689453125,7
41,7949.57568359375,3
42,7336.07861328125,4
43,7783.302490234375,3
44,6991.516845703125,3
45,8587.62939453125,5
46,7586.791015625,3
47,6775.971923828125,3
48,7406.59375,5
49,8218.26416015625,3
50,8499.495361328125,7
51,11262.189453125,4
52,7558.93701171875,3
53,8483.92041015625,3
54,7298.056884765625,4
55,7315.38134765625,7
56,7068.08544921875,5
57,8143.002197265625,3
58,7187.212646484375,3
59,7042.425537109375,4
60,8644.220703125,5
61,10803.58837890625,3
62,8377.326416015625,3
63,8976.224609375,3
64,11269.785888671875,4
65,7674.66357421875,5
66,7072.6689453125,4
67,7571.59423828125,6
68,7191.856689453125,3
69,8587.070068359375,4
70,6977.9814453125,3
71,7920.972412109375,3
72,7402.887451171875,5
73,7393.437744140625,6
74,8339.366455078125,3
75,6522.029052734375,5
76,9810.514404296875,3
77,8849.065673828125,3
78,7344.45654296875,4
79,7060.98388671875,4
80,9388.60498046875,4
81,6958.00048828125,3
82,6426.794677734375,3
83,6941.714111328125,3
84,7702.88037109375,7
85,7019.127197265625,4
86,8339.9990234375,4
87,6992.162109375,3
88,6730.995361328125,3
89,6469.8798828125,4
90,6192.619384765625,3
91,7228.843017578125,3
92,8194.83056640625,3
93,7554.120849609375,3
94,6227.57861328125,3
95,7027.866455078125,5
96,6953.3017578125,4
97,6325.890869140625,4
98,6585.0537109375,6
99,6330.94384765625,4
100,6341.249267578125,3
