Id,Generation time,Nr of test steps
1,6852.16064453125,3
2,9380.999267578125,2
3,7098.00244140625,8
4,7733.407470703125,5
5,7507.998046875,2
6,8045.001708984375,2
7,7439.53369140625,2
8,7090.96728515625,4
9,6972.03466796875,3
10,8468.00048828125,2
11,9295.524169921875,4
12,9925.998779296875,5
13,9716.837890625,2
14,8512.842041015625,3
15,8182.908203125,5
16,7171.883544921875,4
17,6513.943603515625,2
18,7447.608642578125,2
19,8546.662353515625,2
20,8508.495361328125,3
21,8898.714111328125,2
22,7671.7978515625,2
23,7369.74755859375,7
24,8236.164306640625,3
25,7440.36474609375,4
26,11580.63720703125,4
27,17010.762451171875,4
28,10505.98095703125,4
29,7370.863037109375,2
30,13687.31005859375,2
31,12984.832275390625,7
32,9794.455810546875,2
33,7652.271484375,2
34,9854.498046875,3
35,8583.225341796875,4
36,15711.431884765625,2
37,10554.386474609375,2
38,8198.591064453125,2
39,10291.487548828125,4
40,15344.762451171875,5
41,11379.689208984375,2
42,10122.616943359375,6
43,11073.864013671875,7
44,11983.40087890625,3
45,10559.979736328125,5
46,9347.00390625,3
47,9130.843994140625,2
48,8807.576171875,2
49,8856.387939453125,2
50,8749.705078125,2
51,7408.46142578125,2
52,10728.499755859375,2
53,8513.73681640625,3
54,9153.95751953125,2
55,7814.84912109375,3
56,8471.152099609375,2
57,8567.297119140625,2
58,17344.9033203125,2
59,9373.1923828125,5
60,7196.10400390625,3
61,9611.971923828125,2
62,8170.567138671875,7
63,10643.961181640625,2
64,17040.809814453125,2
65,9532.816650390625,2
66,9413.2275390625,4
67,16272.58544921875,3
68,11605.198486328125,2
69,9570.49951171875,3
70,11424.11669921875,3
71,14669.446044921875,4
72,15695.9541015625,6
73,10168.61279296875,3
74,7427.1083984375,2
75,11822.081298828125,3
76,8717.130859375,3
77,8801.170654296875,3
78,8700.14013671875,2
79,10054.241943359375,2
80,9977.691650390625,3
81,10174.720458984375,2
82,16414.294189453125,2
83,9431.915283203125,2
84,8687.808349609375,2
85,11127.079345703125,3
86,14768.94482421875,4
87,10402.99853515625,4
88,7055.442626953125,4
89,9572.018310546875,5
90,10292.1064453125,2
91,13943.87060546875,2
92,15819.739501953125,2
93,8416.011962890625,2
94,7970.634521484375,5
95,6468.008544921875,2
96,6683.998291015625,3
97,6345.32470703125,2
98,7901.24462890625,2
99,12661.1630859375,5
100,13583.57275390625,2
