Id,Generation time,Nr of test steps
1,6787.068359375,281
2,7170.853271484375,280
3,6875.005615234375,462
4,6555.2001953125,330
5,6941.040283203125,250
6,6412.998291015625,273
7,7476.527099609375,318
8,6746.998291015625,401
9,6997.00048828125,616
10,6635.98291015625,178
11,6806.902587890625,325
12,6998.467041015625,369
13,6746.107177734375,394
14,6729.998291015625,203
15,7181.228515625,431
16,6704.001953125,229
17,7748.427490234375,205
18,6549.80322265625,318
19,6992.441650390625,416
20,6882.81591796875,447
21,6864.55908203125,479
22,6542.99951171875,220
23,8350.158935546875,235
24,7433.09619140625,362
25,7636.51025390625,702
26,7003.998779296875,404
27,6895.827392578125,259
28,6722.86767578125,336
29,6719.4970703125,160
30,6837.993408203125,279
31,6865.8251953125,254
32,7495.50537109375,303
33,7332.99755859375,381
34,6518.69970703125,206
35,7250.000244140625,206
36,6833.319580078125,306
37,6401.38623046875,243
38,6921.57666015625,328
39,7197.715087890625,615
40,6889.002197265625,393
41,6952.487548828125,628
42,7212.06103515625,315
43,6828.999267578125,209
44,7162.0400390625,268
45,7057.662353515625,337
46,6731.380615234375,178
47,6775.74462890625,155
48,7323.98193359375,815
49,6927.27001953125,193
50,6890.3994140625,560
51,7303.001708984375,130
52,6446.6328125,219
53,7294.99951171875,203
54,7143.1591796875,287
55,6403.753173828125,216
56,6720.001953125,192
57,6661.00048828125,286
58,7029.20556640625,247
59,6949.000732421875,405
60,6871.997314453125,411
61,6888.135986328125,289
62,7725.899658203125,463
63,6667.03369140625,257
64,6885.006103515625,337
65,6592.001220703125,414
66,7067.2490234375,253
67,6997.041259765625,413
68,7037.011962890625,251
69,6907.900146484375,262
70,6904.99560546875,227
71,7874.772216796875,234
72,6729.4033203125,237
73,6508.495361328125,194
74,7067.759765625,256
75,6461.013671875,213
76,7020.750732421875,193
77,7451.997314453125,679
78,7047.91552734375,440
79,6866.04052734375,414
80,7197.27734375,203
81,7042.355224609375,182
82,7377.72705078125,356
83,6707.34716796875,240
84,6942.697021484375,277
85,6739.3896484375,290
86,7366.287109375,471
87,7058.72021484375,521
88,6532.1357421875,320
89,7220.99658203125,244
90,6556.0634765625,263
91,6867.941162109375,433
92,6791.87841796875,292
93,6698.7978515625,293
94,6785.59716796875,269
95,7059.464111328125,214
96,6590.693115234375,200
97,6762.987548828125,243
98,8419.873046875,219
99,9189.349853515625,284
100,6807.097412109375,280
