Id,Generation time,Nr of test steps
1,7750.997802734375,418
2,7142.23193359375,461
3,6860.498291015625,352
4,7258.990234375,692
5,8222.0048828125,274
6,6803.024169921875,198
7,7063.998046875,258
8,6683.00048828125,229
9,7073.71923828125,367
10,7670.590576171875,362
11,7763.39404296875,394
12,6743.830078125,278
13,7143.018310546875,194
14,7316.0341796875,169
15,7010.80517578125,279
16,6986.994384765625,226
17,6880.050537109375,325
18,6602.692626953125,411
19,6929.752685546875,256
20,6915.03369140625,344
21,6688.150634765625,249
22,7150.997314453125,229
23,7084.00830078125,220
24,7882.001220703125,299
25,6990.357666015625,360
26,7312.613525390625,239
27,7433.04833984375,283
28,6953.998291015625,413
29,7112.248046875,451
30,6990.56787109375,430
31,6922.7294921875,392
32,7245.000732421875,212
33,7389.529296875,393
34,7173.521240234375,268
35,6878.039306640625,386
36,6636.311767578125,257
37,6722.936279296875,127
38,6495.239990234375,216
39,6567.442138671875,245
40,7394.997802734375,642
41,6947.91796875,507
42,6980.093994140625,339
43,7205.587158203125,824
44,6812.25439453125,372
45,6708.44287109375,321
46,6724.490966796875,394
47,7041.523193359375,390
48,6805.00244140625,253
49,6632.4765625,189
50,7059.96484375,239
51,6580.998291015625,232
52,7452.93359375,308
53,6848.823486328125,189
54,6708.49462890625,249
55,6881.998779296875,314
56,6689.529541015625,202
57,6815.361083984375,489
58,7133.375244140625,202
59,6885.520751953125,280
60,7285.96826171875,441
61,6931.485595703125,343
62,7051.833251953125,317
63,6800.467041015625,250
64,6890.966064453125,393
65,6839.715087890625,247
66,7180.73779296875,507
67,6694.0029296875,182
68,7063.170654296875,188
69,7309.0498046875,589
70,7949.668212890625,154
71,7233.171630859375,396
72,6457.075927734375,267
73,6860.303466796875,201
74,6441.395751953125,248
75,7344.03857421875,262
76,6726.0,206
77,6709.24267578125,238
78,7039.62158203125,311
79,7355.0458984375,196
80,6477.385009765625,187
81,7103.0,301
82,7194.39501953125,301
83,7603.95654296875,273
84,7303.000244140625,301
85,7220.998046875,172
86,7315.99853515625,405
87,6712.63037109375,640
88,7523.392333984375,378
89,7513.0029296875,273
90,7014.00048828125,150
91,6948.000244140625,370
92,6801.327880859375,432
93,7221.493896484375,313
94,7044.989501953125,533
95,6792.81103515625,161
96,8598.809814453125,228
97,8276.994873046875,280
98,6993.998291015625,360
99,6609.1298828125,251
100,7403.6025390625,530
