Id,Generation time,Nr of test steps
1,7124.18701171875,22
2,7455.37744140625,139
3,7134.846923828125,54
4,6690.9140625,11
5,6228.95947265625,73
6,6747.985595703125,67
7,6722.044921875,159
8,6947.759765625,358
9,6161.822998046875,7
10,6431.8779296875,15
11,6547.394287109375,97
12,6863.120361328125,72
13,6807.736083984375,79
14,6196.031982421875,13
15,6606.175048828125,47
16,6266.60546875,73
17,6642.0126953125,61
18,6687.54638671875,37
19,6289.117431640625,31
20,6290.103515625,21
21,6668.00634765625,31
22,6572.516845703125,15
23,7165.25634765625,140
24,6691.998779296875,38
25,6280.001220703125,81
26,6899.009765625,36
27,6403.2265625,106
28,6440.999267578125,46
29,6565.9970703125,22
30,6522.068115234375,127
31,6867.999267578125,283
32,7203.001953125,289
33,6588.74365234375,52
34,6641.9765625,9
35,6711.8916015625,158
36,6596.001953125,87
37,6677.999267578125,113
38,6422.3876953125,40
39,6698.7333984375,173
40,6475.99658203125,71
41,6219.998291015625,93
42,7295.108154296875,25
43,6215.95751953125,68
44,6548.820068359375,86
45,7377.038330078125,87
46,6367.001953125,58
47,6695.996826171875,152
48,6597.00048828125,56
49,6480.0,56
50,6484.99658203125,82
51,8021.80615234375,89
52,6790.99609375,8
53,7474.035400390625,94
54,6882.999267578125,112
55,6677.9443359375,19
56,6613.9970703125,46
57,6432.00048828125,29
58,6862.00244140625,67
59,6418.65966796875,124
60,7006.510498046875,212
61,6947.805908203125,69
62,6219.99169921875,22
63,6952.9990234375,172
64,6537.9931640625,13
65,6379.234619140625,156
66,7025.03125,66
67,6479.072998046875,58
68,6360.001708984375,14
69,6701.879638671875,52
70,6951.03662109375,65
71,6379.6513671875,6
72,6870.965087890625,131
73,6497.57080078125,41
74,6728.115234375,127
75,6848.50634765625,152
76,7913.9970703125,150
77,6450.21435546875,21
78,6427.7255859375,46
79,7573.58984375,332
80,6526.747802734375,27
81,6714.5009765625,17
82,6445.5830078125,10
83,6299.963134765625,22
84,6526.99853515625,148
85,6864.212890625,184
86,6681.00390625,58
87,6369.99462890625,64
88,7002.03564453125,116
89,6847.258056640625,26
90,7055.174072265625,74
91,6541.998779296875,99
92,6319.8330078125,106
93,7249.229736328125,97
94,6203.168212890625,64
95,6306.354248046875,24
96,6492.369384765625,12
97,6758.998291015625,142
98,6528.702392578125,51
99,7207.53173828125,6
100,7025.9892578125,27
