Id,Generation time,Nr of test steps
1,8092.51806640625,42
2,6791.00439453125,28
3,6358.10205078125,24
4,6046.0322265625,14
5,6811.98876953125,24
6,6893.994873046875,51
7,6440.997802734375,54
8,6508.580810546875,22
9,6277.003173828125,35
10,6497.000244140625,22
11,6275.15576171875,32
12,6289.20947265625,36
13,6570.583984375,60
14,6379.769775390625,22
15,6449.9970703125,16
16,7250.613037109375,10
17,6617.231689453125,80
18,6614.999267578125,31
19,6497.9990234375,28
20,6324.999267578125,38
21,6489.13818359375,19
22,6409.0068359375,33
23,6039.14208984375,17
24,6871.237548828125,16
25,6867.162353515625,36
26,6596.990234375,57
27,6546.0380859375,42
28,6375.36181640625,60
29,6488.994873046875,35
30,6397.00732421875,42
31,6533.001220703125,38
32,6443.003662109375,42
33,6351.8564453125,34
34,6245.051025390625,21
35,7485.79443359375,39
36,6451.002197265625,28
37,6279.92431640625,51
38,6779.540283203125,25
39,6364.936279296875,44
40,6856.165283203125,53
41,6427.99755859375,17
42,6300.979736328125,16
43,6722.605224609375,30
44,6830.013671875,24
45,6468.014892578125,32
46,6630.946044921875,56
47,6435.23193359375,24
48,6566.4619140625,38
49,6329.415283203125,18
50,6271.693603515625,22
51,6560.215576171875,41
52,6362.79248046875,24
53,6296.416748046875,45
54,8098.999267578125,46
55,7782.342041015625,23
56,6802.116455078125,11
57,6389.2734375,53
58,6716.047607421875,88
59,6831.17431640625,28
60,6284.984130859375,37
61,6384.696533203125,22
62,6695.00244140625,22
63,6453.746826171875,21
64,6871.00439453125,18
65,6678.003173828125,36
66,6119.19775390625,55
67,6461.85400390625,27
68,6471.883544921875,25
69,6345.36474609375,59
70,6593.118408203125,24
71,6284.04541015625,39
72,6473.998291015625,46
73,7317.57958984375,66
74,6193.7783203125,22
75,6934.005126953125,91
76,6218.031494140625,17
77,6305.260498046875,44
78,6546.001708984375,19
79,6404.99755859375,44
80,6087.3984375,18
81,7141.5185546875,41
82,6295.251708984375,45
83,6928.19482421875,53
84,6749.989990234375,50
85,6338.703857421875,18
86,6790.96533203125,12
87,6346.031005859375,44
88,6456.712646484375,22
89,6546.99658203125,20
90,6234.914794921875,27
91,6763.001708984375,15
92,7119.0009765625,81
93,6842.318115234375,10
94,6514.001953125,23
95,6628.238037109375,57
96,6284.000732421875,67
97,6885.126953125,17
98,6445.00390625,21
99,6220.998291015625,33
100,7487.141845703125,37
