Id,Generation time,Nr of test steps
1,6523.758056640625,63
2,6854.7197265625,81
3,6429.35302734375,149
4,6764.322509765625,74
5,6523.833740234375,64
6,6441.68115234375,116
7,6715.73193359375,84
8,6839.858154296875,109
9,6861.58349609375,40
10,6197.1279296875,63
11,7235.035888671875,54
12,6613.51611328125,89
13,6360.46923828125,24
14,6952.49560546875,88
15,6678.175537109375,69
16,6291.830322265625,61
17,6441.986328125,57
18,6482.087646484375,27
19,6279.791015625,48
20,6869.090087890625,49
21,6580.127685546875,70
22,6426.62060546875,34
23,7148.9990234375,42
24,6577.04052734375,102
25,6446.611083984375,48
26,6307.999267578125,40
27,6323.168212890625,38
28,6645.016357421875,66
29,7087.794921875,16
30,9003.147216796875,28
31,7198.36572265625,48
32,6236.93994140625,40
33,6996.9873046875,34
34,6258.705322265625,47
35,6247.93603515625,42
36,6550.552734375,46
37,6229.51708984375,48
38,6427.46728515625,32
39,6339.34716796875,33
40,6827.883056640625,31
41,6768.539306640625,151
42,6664.006591796875,106
43,6484.730224609375,56
44,6772.976806640625,55
45,6395.17529296875,40
46,7307.74169921875,140
47,6956.9990234375,58
48,6418.226318359375,58
49,7169.2607421875,27
50,6789.99951171875,60
51,6678.83837890625,120
52,6793.0537109375,47
53,6248.002685546875,23
54,6380.6650390625,54
55,6480.11572265625,76
56,6352.001220703125,124
57,6469.273193359375,33
58,6582.00634765625,103
59,6914.0048828125,172
60,6653.060791015625,50
61,6530.0341796875,42
62,6146.998779296875,110
63,6590.496826171875,46
64,6255.44873046875,20
65,6568.227783203125,47
66,6637.685546875,101
67,6294.46142578125,42
68,7497.6689453125,129
69,6372.919189453125,82
70,8352.130859375,108
71,8494.85107421875,149
72,7124.726806640625,68
73,7254.35986328125,70
74,7067.88232421875,60
75,7320.505859375,160
76,7019.11865234375,46
77,7149.99951171875,83
78,7676.212158203125,38
79,6822.1669921875,64
80,6311.7119140625,78
81,6577.10888671875,38
82,6358.91552734375,83
83,6534.79443359375,58
84,6522.06005859375,32
85,6857.461181640625,35
86,7198.8994140625,60
87,7085.872314453125,110
88,6361.236328125,29
89,6900.904296875,32
90,6541.115234375,29
91,6591.031005859375,98
92,7169.7265625,197
93,6528.80224609375,118
94,6959.529052734375,55
95,6461.833251953125,29
96,7031.859375,71
97,6773.185302734375,88
98,6370.564453125,36
99,7217.76513671875,48
100,12182.640380859375,43
