Id,Generation time,Nr of test steps
1,7818.998291015625,383
2,6746.45263671875,171
3,7718.921875,454
4,7083.22265625,346
5,7456.997802734375,435
6,6745.197265625,168
7,7447.991943359375,304
8,7563.005615234375,547
9,6909.0048828125,290
10,7554.0,246
11,7005.002685546875,214
12,6928.009765625,409
13,7281.99755859375,467
14,6904.001708984375,228
15,7160.996337890625,265
16,8192.044189453125,516
17,7881.9951171875,369
18,7681.096435546875,222
19,7216.0048828125,565
20,7092.002685546875,150
21,7442.99755859375,416
22,7368.080322265625,340
23,7249.0,530
24,7251.629150390625,125
25,7534.997314453125,189
26,6915.0009765625,250
27,7958.00048828125,275
28,6940.997314453125,698
29,7078.0029296875,161
30,7837.287841796875,388
31,7409.0,868
32,7494.001953125,168
33,6915.5361328125,200
34,7134.027587890625,337
35,7288.632080078125,311
36,7334.9345703125,311
37,7254.64501953125,174
38,6789.998291015625,370
39,7366.15185546875,373
40,7184.955322265625,345
41,7466.456298828125,364
42,7290.001708984375,280
43,6868.141357421875,417
44,7223.900634765625,226
45,7568.03076171875,297
46,7310.99951171875,189
47,7551.667236328125,538
48,6676.35791015625,199
49,7101.003173828125,215
50,7252.00048828125,246
51,7523.369873046875,270
52,7222.595458984375,420
53,7581.3623046875,306
54,7242.000732421875,439
55,6934.004150390625,200
56,6918.019775390625,263
57,7120.5205078125,245
58,7371.00146484375,194
59,6759.877685546875,271
60,7562.0,773
61,6845.250732421875,249
62,8176.904296875,190
63,6964.9638671875,209
64,7534.9921875,217
65,7439.042724609375,422
66,7251.0,213
67,7414.726806640625,206
68,7054.5263671875,342
69,7206.995849609375,476
70,6915.000244140625,246
71,7455.535888671875,229
72,7370.0,474
73,6957.412353515625,280
74,7364.9990234375,266
75,7574.9970703125,302
76,6988.715576171875,222
77,7145.78271484375,225
78,7139.014404296875,478
79,7302.00341796875,190
80,7610.64453125,249
81,6821.911865234375,180
82,7468.0029296875,340
83,7813.521240234375,348
84,7067.4658203125,189
85,6872.999755859375,184
86,6811.09716796875,224
87,7419.99658203125,410
88,8045.042236328125,417
89,7186.1845703125,199
90,6785.000244140625,170
91,7129.849853515625,295
92,7664.13916015625,356
93,6936.001953125,195
94,7017.04150390625,271
95,7489.997314453125,499
96,7256.4736328125,307
97,8134.517333984375,298
98,6899.650146484375,472
99,8412.96533203125,256
100,7101.34619140625,203
