Id,Generation time,Nr of test steps
1,6942.42431640625,25
2,6649.681640625,12
3,6915.658447265625,118
4,6456.00244140625,32
5,6824.2802734375,44
6,6457.0810546875,57
7,6615.998779296875,26
8,7714.00048828125,16
9,6476.00244140625,33
10,7069.237548828125,181
11,6420.818359375,12
12,6371.319091796875,15
13,6887.22412109375,33
14,6293.630126953125,14
15,6907.00439453125,46
16,6650.999267578125,51
17,6769.0,23
18,7498.9990234375,65
19,8013.080322265625,108
20,8260.99560546875,15
21,6931.0302734375,72
22,6778.80029296875,19
23,6966.261474609375,47
24,6490.868896484375,26
25,7108.840087890625,190
26,7387.4638671875,73
27,6690.6181640625,60
28,6825.336669921875,18
29,6507.436279296875,24
30,6689.190673828125,240
31,7309.33251953125,79
32,6433.125732421875,38
33,7109.966552734375,41
34,7041.625,179
35,7031.50244140625,66
36,7572.84326171875,176
37,6650.2138671875,16
38,7771.994384765625,201
39,6602.782958984375,27
40,6606.26318359375,89
41,6700.923828125,9
42,6752.80322265625,98
43,6951.553955078125,22
44,6915.997314453125,79
45,7146.91650390625,60
46,6977.026611328125,59
47,6765.16064453125,88
48,6714.13623046875,26
49,6877.8828125,71
50,6325.2880859375,6
51,7099.531982421875,14
52,7187.091796875,91
53,6598.4130859375,89
54,7578.69677734375,58
55,6894.39013671875,10
56,7329.083740234375,226
57,7039.39990234375,42
58,6371.0341796875,38
59,6880.001953125,44
60,6828.58203125,105
61,6551.205078125,15
62,7369.568359375,9
63,6980.825927734375,22
64,6984.479248046875,60
65,7316.838623046875,118
66,6353.110595703125,8
67,7033.672119140625,24
68,6651.9248046875,63
69,7234.0302734375,231
70,6948.501708984375,18
71,6561.406982421875,50
72,7976.7998046875,52
73,6892.818603515625,109
74,6470.28857421875,48
75,6973.4091796875,10
76,6898.2119140625,109
77,6775.00146484375,12
78,7500.459716796875,87
79,7075.448974609375,208
80,7003.849365234375,100
81,7594.10498046875,262
82,6636.27783203125,76
83,6935.31005859375,110
84,6565.51806640625,33
85,7129.894775390625,179
86,6945.949951171875,12
87,6682.394775390625,7
88,6862.749267578125,23
89,6805.367431640625,53
90,6903.885009765625,130
91,7800.999755859375,597
92,6727.9365234375,88
93,6741.181884765625,19
94,6613.996337890625,26
95,6544.9404296875,90
96,7288.9990234375,77
97,6520.0,129
98,7124.516845703125,38
99,6488.031494140625,38
100,7086.999755859375,109
