Id,Generation time,Nr of test steps
1,7911.052734375,23
2,6728.0009765625,35
3,6561.998291015625,64
4,6767.933837890625,26
5,6536.344970703125,19
6,7173.0322265625,49
7,6811.035400390625,143
8,6400.55224609375,91
9,7044.095458984375,49
10,6831.029052734375,43
11,6700.00732421875,46
12,7253.531982421875,48
13,6669.258544921875,86
14,6766.671142578125,93
15,6442.560791015625,45
16,6649.996826171875,69
17,7175.679931640625,200
18,6637.99853515625,31
19,7251.4609375,43
20,6700.19287109375,76
21,7039.9794921875,56
22,6965.59423828125,72
23,6895.000244140625,58
24,6629.003173828125,43
25,6924.9287109375,68
26,6854.00146484375,48
27,7103.0,38
28,7060.0322265625,39
29,6466.123291015625,50
30,7470.78466796875,28
31,6551.490478515625,46
32,7310.86083984375,52
33,6461.9990234375,40
34,6498.96240234375,31
35,7030.086181640625,49
36,6759.9658203125,95
37,6739.0,31
38,7412.9990234375,41
39,6911.130126953125,21
40,7025.9990234375,56
41,6579.85205078125,52
42,6709.0029296875,64
43,6959.59033203125,136
44,6599.6728515625,97
45,7195.7958984375,40
46,7259.00732421875,103
47,6734.699951171875,31
48,7936.0009765625,83
49,6924.95751953125,134
50,7050.52099609375,74
51,6586.477783203125,67
52,6636.902099609375,168
53,6836.002685546875,63
54,7471.0,125
55,7341.998779296875,173
56,9910.436279296875,88
57,7664.742919921875,55
58,6600.568603515625,74
59,6672.485107421875,68
60,7050.185546875,41
61,6495.9296875,35
62,6833.90478515625,146
63,6904.86962890625,151
64,7165.243408203125,37
65,7673.128662109375,152
66,6555.908935546875,21
67,6663.996826171875,56
68,6979.00048828125,186
69,6570.557373046875,48
70,7039.92431640625,55
71,6580.09228515625,49
72,6519.482177734375,40
73,7110.806884765625,84
74,7639.250244140625,181
75,7074.325927734375,56
76,6581.233154296875,74
77,6848.88037109375,64
78,6883.049560546875,40
79,6988.993408203125,38
80,7958.669189453125,31
81,6742.314697265625,106
82,6546.182373046875,52
83,7882.015869140625,29
84,6465.392578125,43
85,7200.909912109375,45
86,6782.58837890625,108
87,6592.124755859375,33
88,7061.243408203125,70
89,6847.27734375,39
90,6602.420166015625,50
91,6879.71240234375,45
92,7588.131103515625,239
93,7022.9609375,34
94,6524.5400390625,75
95,6783.966552734375,174
96,7004.630615234375,20
97,6582.63818359375,75
98,6765.865478515625,89
99,7034.861083984375,112
100,6553.69775390625,40
